,root_id,nucleus_id,volume,clf_type,cell_type,mtype,axon_length,dendrite_length,max_dend_y_path_dist_to_soma,max_dend_y_euclid_dist_to_soma,ds_num_of_incoming_synapses,ds_num_of_outgoing_synapses,ds_incoming_syn_mean_weight,ds_outgoing_syn_mean_weight,ds_incoming_syn_sum_weight,ds_outgoing_syn_sum_weight,ds_incoming_syn_std_weight,ds_outgoing_syn_std_weight,num_of_incoming_synapses,num_of_outgoing_synapses,num_of_incoming_neurons,num_of_outgoing_neurons,num_of_ex_incoming_synapses,num_of_ex_outgoing_synapses,num_of_inh_incoming_synapses,num_of_inh_outgoing_synapses,incoming_syn_mean_weight,incoming_syn_sum_weight,incoming_syn_std_weight,outgoing_syn_mean_weight,outgoing_syn_sum_weight,outgoing_syn_std_weight,ex_incoming_syn_mean_weight,ex_incoming_syn_sum_weight,ex_incoming_syn_std_weight,ex_outgoing_syn_mean_weight,ex_outgoing_syn_sum_weight,ex_outgoing_syn_std_weight,inh_incoming_syn_mean_weight,inh_incoming_syn_sum_weight,inh_incoming_syn_std_weight,inh_outgoing_syn_mean_weight,inh_outgoing_syn_sum_weight,inh_outgoing_syn_std_weight
843,864691135911353001,291345,344.67414016,E,23P,L2a,4495.7099609375,3623.644287109375,222.34851321578026,103.20752236154496,4391,460,8352.499202915054,6439.921739130435,36675824,2962364,9769.265613477757,6620.468862481919,104,55,53,40,33,29,71,26,6355.307692307692,660952,8937.262452009265,5120.509090909091,281628,4011.579824243934,12518.787878787878,413120,13523.335449595166,5705.517241379311,165460.0,5052.798573277638,3490.5915492957747,247832.0,2476.981907156225,4468.0,116168.0,2181.348348014277
844,864691135911679145,301246,257.8333696,E,5P-IT,L4c,9186.017578125,3432.2607421875,371.16430185735226,341.5200941177724,3727,768,6180.487255165012,7214.541666666667,23034676,5540768,6492.446420534878,6892.0881963739575,114,47,58,36,41,24,73,23,3732.4210526315787,425496,3847.6031588936917,8677.36170212766,407836,10703.96114475013,4304.682926829269,176492,5257.857703587263,10436.5,250476.0,13592.344429248891,3411.013698630137,249004.0,2702.7282233194323,6841.739130434783,157360.0,5894.738444006775
845,864691135915450982,255208,220.15541248,I,NGC,STC,2425.03857421875,1423.0343017578125,53.764550626277924,35.844895192280646,2341,183,4068.8902178556173,1952.0655737704917,9525272,357228,2943.8519559673355,2548.768582142672,22,49,16,43,8,44,14,5,4075.2727272727275,89656,2207.8338660699287,1978.0408163265306,96924,2359.444157641351,4537.5,36300,1773.5590630142544,1957.090909090909,86112.0,2447.3863407370823,3811.1428571428573,53356.0,2381.3207276978183,2162.4,10812.0,1345.0510176197777
846,864691135916660582,292637,365.39908096,E,23P,L3a,5432.30322265625,3969.220703125,242.72556322813034,166.20474035969107,4772,422,8412.001676445934,9077.374407582938,40142072,3830652,8454.023806728059,9367.301197376873,185,48,80,39,49,30,136,18,5119.5675675675675,947120,5217.966449399253,8967.25,430428,11511.493898310217,8554.938775510203,419192,8060.418575266204,11832.8,354984.0,13687.914490284242,3881.823529411765,527928.0,2800.787362726966,4191.333333333333,75444.0,2147.5485766074976
847,864691135916714854,294546,322.224128,E,23P,L3b,3257.6611328125,3536.949951171875,227.81787349283695,190.09429829823102,3737,139,7571.440192667916,5834.877697841726,28294472,811048,7172.9818457161355,4934.961821461923,130,26,67,20,45,9,85,17,5205.138461538461,676668,5491.25548731638,6727.2307692307695,174908,6181.458430771895,8738.755555555555,393244,7506.848396721359,10751.111111111111,96760.0,8396.148276236147,3334.4,283424.0,2484.703713902797,4596.941176470588,78148.0,2829.888720958897
848,864691135916843366,299069,287.81002752,E,4P,L4a,5452.4150390625,2544.0966796875,309.65741327404976,297.4619087600761,2935,714,6735.57206132879,8075.887955182073,19768904,5766184,6690.773540469723,6237.000879929509,94,92,38,63,17,57,77,35,3686.7659574468084,346556,3156.407924805866,8568.91304347826,788340,6266.94655844069,4424.941176470588,75224,4866.988155155316,9522.17543859649,542764.0,7404.509619553708,3523.7922077922076,271332.0,2604.9811941274093,7016.457142857143,245576.0,3171.249815296866
849,864691135917047910,271873,298.26564096,E,6P-IT,L6short-a,5931.19873046875,3517.036376953125,120.98223793506622,95.02327482456161,2510,361,7899.641434262948,7022.880886426593,19828100,2535260,7490.604759793868,4954.273938737158,44,12,21,9,13,2,31,10,6973.727272727273,306844,5500.958422128227,8663.666666666666,103964,4783.28965136849,10445.23076923077,135788,6936.991568660628,4232.0,8464.0,440.0,5517.935483870968,171056.0,3949.329236109913,9550.0,95500.0,4764.828559350273
850,864691135917058150,307198,302.38572544,E,6P-IT,L6short-b,7303.181640625,2875.294921875,268.29795476794243,238.73028659834193,4065,808,6918.2287822878225,5973.623762376237,28122600,4826688,6835.586582438295,5524.585752763131,62,48,33,31,20,24,42,24,4738.645161290323,293796,3524.454728345082,5961.833333333333,286168,4284.947837748113,4854.6,97092,3799.543398883608,4594.833333333333,110276.0,2519.807791391152,4683.428571428572,196704.0,3384.2171011557607,7328.833333333333,175892.0,5160.886226113583
851,864691135919630768,260505,309.65874688,I,MC,DTC,15031.541015625,3176.4716796875,176.83021450787783,149.12025951432355,7603,8018,5621.348941207418,3118.6500374158145,42739116,25005336,3746.480625973082,2428.540494083836,383,1571,198,384,312,1475,71,96,6369.148825065274,2439384,4287.09598634412,3209.744112030554,5042508,2470.06213673792,6988.089743589743,2180284,4229.278527567198,3142.5410169491524,4635248.0,2373.23169614175,3649.2957746478874,259100.0,3385.546862828025,4242.291666666667,407260.0,3488.741594748822
852,864691135919749808,309269,300.06198272,E,6P-IT,L6short-b,2988.097412109375,2210.656005859375,593.1918564215302,326.2112255471034,2662,164,6762.779864763336,5298.09756097561,18002520,868888,6435.584643671509,5460.709101657117,22,15,15,14,7,12,15,3,4438.545454545455,97648,3368.4578711558893,3011.733333333333,45176,2897.6240259142587,6511.428571428572,45580,4148.752613123366,2791.3333333333335,33496.0,2664.9166757872354,3471.2,52068.0,2380.810483847885,3893.3333333333335,11680.0,3549.9969327060303
853,864691135919756208,256602,193.7768448,E,23P,L2c,4190.48681640625,3006.08984375,239.32577806711197,154.60534540178045,2353,380,7401.932851678708,6025.473684210527,17416748,2289680,6967.233511991738,5328.33762333571,107,68,50,49,20,24,87,44,2653.570093457944,283932,2047.1537209590392,6357.64705882353,432320,5077.215922382202,4174.0,83480,3196.879853857508,7378.333333333333,177080.0,6625.548824227487,2304.0459770114944,200452.0,1466.7040531393202,5800.909090909091,255240.0,3875.0994228780864
854,864691135919854768,256521,342.82274816,E,23P,L2a,5368.72607421875,4552.90869140625,207.75921639800072,149.21207582905197,5269,336,8904.03112545075,7538.011904761905,46915340,2532772,9095.27947517931,7936.698911947327,179,82,83,61,59,50,120,32,5956.022346368715,1066128,8302.192605292084,7866.682926829269,645068,8718.934820931954,12212.677966101695,720548,11935.636136421048,10268.56,513428.0,10272.292893332044,2879.8333333333335,345580.0,2015.7080738263885,4113.75,131640.0,2612.892829317728
855,864691135919956656,294565,285.1037184,E,23P,L2c,5561.13720703125,3961.923095703125,304.09191067516804,203.87069375094526,3170,329,8479.875078864354,8618.127659574468,26881204,2835364,7870.974308004402,9281.151133705438,104,52,73,41,42,33,62,19,5627.038461538462,585212,5921.268354127994,8542.153846153846,444192,9531.176744252387,9376.666666666666,393820,7204.687041439021,10753.333333333334,354860.0,11173.25823363783,3086.967741935484,191392.0,2770.0662561526474,4701.684210526316,89332.0,2924.4411261430805
856,864691135920381616,309382,226.05512704,E,6P-IT,L6tall-c,2202.208251953125,2352.72216796875,714.3409475386143,639.954086658302,2510,196,7376.73625498008,3904.9795918367345,18515608,765376,7054.025387471465,3322.2257138040845,46,31,34,29,25,21,21,10,4244.086956521739,195228,4311.691566699966,3422.8387096774195,106108,2615.9061231155015,4710.4,117760,4795.9875229195495,2344.3809523809523,49232.0,1645.6807095340293,3688.9523809523807,77468.0,3573.88813847102,5687.6,56876.0,2820.326477555391
